DATE,SHIFT,ROUTE,TOTAL
23,OUT 6PM,Cabuyao,11
23,OUT 6PM,Calamba,117
23,IN 7PM,Alabang,236
23,IN 7PM,Binan,0
23,IN 7PM,Carmona,0
23,IN 7PM,Balibago,21
23,IN 7PM,Tagapo,48
23,IN 7PM,Cabuyao,19
23,IN 7PM,Calamba,171
23,OUT 7PM,Alabang,343
23,OUT 7PM,Binan,0
23,OUT 7PM,Carmona,0
23,OUT 7PM,Balibago,0
23,OUT 7PM,Tagapo,0
23,OUT 7PM,Cabuyao,0
23,OUT 7PM,Calamba,0
23,IN 10PM,Alabang,0
23,IN 10PM,Binan,0
23,IN 10PM,Carmona,0
23,IN 10PM,Balibago,41
23,IN 10PM,Tagapo,126
23,IN 10PM,Cabuyao,60
23,IN 10PM,Calamba,442
24,OUT 4AM,Alabang,0
24,OUT 4AM,Binan,0
24,OUT 4AM,Carmona,0
24,OUT 4AM,Balibago,23
24,OUT 4AM,Tagapo,64
24,OUT 4AM,Cabuyao,28
24,OUT 4AM,Calamba,194
24,IN 7AM,Alabang,422
24,IN 7AM,Binan,0
24,IN 7AM,Carmona,0
24,IN 7AM,Balibago,12
24,IN 7AM,Tagapo,29
24,IN 7AM,Cabuyao,11
24,IN 7AM,Calamba,117
24,OUT 7AM,Alabang,236
24,OUT 7AM,Binan,0
24,OUT 7AM,Carmona,0
24,OUT 7AM,Balibago,8
24,OUT 7AM,Tagapo,12
24,OUT 7AM,Cabuyao,4
24,OUT 7AM,Calamba,31
24,OUT 4PM,Alabang,76
24,OUT 4PM,Binan,0
24,OUT 4PM,Carmona,0
24,OUT 4PM,Balibago,0
24,OUT 4PM,Tagapo,0
24,OUT 4PM,Cabuyao,0
24,OUT 4PM,Calamba,0
24,OUT 6PM,Alabang,0
24,OUT 6PM,Binan,0
24,OUT 6PM,Carmona,0
24,OUT 6PM,Balibago,9
24,OUT 6PM,Tagapo,21
24,OUT 6PM,Cabuyao,9
24,OUT 6PM,Calamba,86
24,IN 7PM,Alabang,180
24,IN 7PM,Binan,0
24,IN 7PM,Carmona,0
24,IN 7PM,Balibago,15
24,IN 7PM,Tagapo,45
24,IN 7PM,Cabuyao,18
24,IN 7PM,Calamba,141
24,OUT 7PM,Alabang,284
24,OUT 7PM,Binan,0
24,OUT 7PM,Carmona,0
24,OUT 7PM,Balibago,0
24,OUT 7PM,Tagapo,0
24,OUT 7PM,Cabuyao,0
24,OUT 7PM,Calamba,0
24,IN 10PM,Alabang,0
